0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "GET /images/instagram/xig/homepage/screenshots/screenshot2-2x.png?__d=www HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "GET /images/instagram/xig/homepage/screenshots/screenshot3-2x.png?__d=www HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "GET /images/instagram/xig/homepage/screenshots/screenshot4-2x.png?__d=www HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:43 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:44 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=7&__rev=1018200555&__s=qzx0st%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:45 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=8&__rev=1018200555&__s=qzx0st%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:46 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:46 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:46 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:49 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:49 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:43:49 +0530] "POST /ajax/bulk-route-definitions/ HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:44:11 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=f&__rev=1018200555&__s=qzx0st%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:44:49 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=g&__rev=1018200555&__s=%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:20:46:43 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=h&__rev=1018200555&__s=%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Nov/2024:21:01:09 +0530] "POST /ajax/bz?__a=1&__ccg=GOOD&__comet_req=7&__d=www&__hs=20041.HYP%3Ainstagram_web_pkg.2.1..0.0&__hsi=7437153440293154178&__req=i&__rev=1018200555&__s=%3Aksjwwv%3A6j86be&__spin_b=trunk&__spin_r=1018200555&__spin_t=1731597222&__user=0&dpr=1&jazoest=21059&lsd=AVpmMwRqjKs&ph=C3 HTTP/1.1" 404 762
